Geneid	control_1	control_2	control_3	L1OE_1	L1OE_2	L1OE_3
ENSG00000000663	20	20	19	20	21	20
ENSG00000000664	13	11	11	12	12	11
ENSG00000000665	12	13	10	12	10	12
ENSG00000000666	15	17	16	12	14	13
ENSG00000000667	14	12	10	11	12	15
ENSG00000000668	9	8	11	8	9	10
ENSG00000000669	10	9	12	9	10	10
ENSG00000000670	8	11	11	9	11	9
ENSG00000000671	12	14	12	11	13	13
ENSG00000000672	6	6	7	7	6	8
ENSG00000000673	6	7	3	5	5	5
ENSG00000000674	6	4	6	5	5	5
ENSG00000000675	8	8	11	7	11	9
ENSG00000000676	19	18	19	17	19	21
ENSG00000000677	11	9	10	9	10	11
ENSG00000000678	9	9	9	4	5	4
ENSG00000000679	11	7	11	12	10	9
ENSG00000000680	16	16	16	15	17	16
ENSG00000000681	5	6	5	5	4	6
ENSG00000000682	13	9	10	9	12	8
ENSG00000000683	19	16	17	19	16	15
ENSG00000000684	7	8	8	10	9	6
ENSG00000000685	10	6	10	6	6	7
ENSG00000000686	8	11	7	8	8	9
ENSG00000000687	11	12	11	14	11	14
ENSG00000000688	11	11	17	13	15	13
ENSG00000000689	10	11	12	11	12	10
ENSG00000000690	15	10	9	14	11	12
ENSG00000000691	4	4	5	4	5	3
ENSG00000000692	17	19	22	22	18	19
ENSG00000000693	6	6	7	11	7	7
ENSG00000000694	23	17	18	17	18	17
ENSG00000000695	6	7	7	4	4	2
ENSG00000000696	12	15	14	15	13	15
ENSG00000000697	8	12	7	8	7	7
ENSG00000000698	12	16	12	5	5	7
ENSG00000000699	8	8	10	8	9	7
ENSG00000000700	13	15	12	12	13	12
ENSG00000000701	12	12	10	9	9	9
ENSG00000000702	9	5	5	5	6	6
ENSG00000000703	13	14	13	14	14	13
ENSG00000000704	9	12	12	12	11	15
ENSG00000000705	10	9	10	9	10	9
ENSG00000000706	13	11	12	12	16	14
ENSG00000000707	11	12	14	10	12	11
ENSG00000000708	11	12	10	11	14	13
ENSG00000000709	9	9	10	10	13	9
ENSG00000000710	16	20	15	17	15	17
ENSG00000000711	11	10	10	14	13	11
ENSG00000000712	10	5	5	8	6	7
ENSG00000000713	14	12	9	13	11	12
ENSG00000000714	9	10	9	10	9	9
ENSG00000000715	9	10	10	17	19	20
ENSG00000000716	17	14	14	13	15	14
ENSG00000000717	10	9	9	9	10	10
ENSG00000000718	9	5	8	3	4	4
ENSG00000000719	9	8	6	7	9	10
ENSG00000000720	13	8	10	9	11	10
ENSG00000000721	17	16	16	17	14	17
ENSG00000000722	12	11	14	10	10	13
ENSG00000000723	13	11	12	11	10	10
ENSG00000000724	19	19	20	7	9	8
ENSG00000000725	11	11	10	9	11	9
ENSG00000000726	9	8	8	5	7	5
ENSG00000000727	4	6	6	6	7	6
ENSG00000000728	16	15	16	17	17	16
ENSG00000000729	19	14	13	14	13	15
ENSG00000000730	17	15	14	14	16	17
ENSG00000000731	7	6	8	7	6	6
ENSG00000000732	8	9	8	10	8	9
ENSG00000000733	8	11	7	11	8	9
ENSG00000000734	8	12	10	10	9	11
ENSG00000000735	13	14	14	13	12	13
ENSG00000000736	10	12	9	9	10	11
ENSG00000000737	10	10	12	9	11	11
ENSG00000000738	10	9	8	7	4	4
ENSG00000000739	26	27	22	23	23	27
ENSG00000000740	20	21	20	23	20	20
ENSG00000000741	16	16	16	17	16	17
ENSG00000000742	14	12	13	13	11	12
ENSG00000000743	15	11	11	11	10	12
ENSG00000000744	12	15	12	12	11	11
ENSG00000000745	13	16	12	15	15	13
ENSG00000000746	17	18	17	19	15	17
ENSG00000000747	8	9	9	7	9	10
ENSG00000000748	5	4	4	4	3	4
ENSG00000000749	8	8	9	7	8	8
ENSG00000000750	14	15	15	12	14	14
ENSG00000000751	10	9	12	11	12	10
ENSG00000000752	14	14	13	12	17	14
ENSG00000000753	10	7	9	9	10	10
ENSG00000000754	10	10	9	13	11	11
ENSG00000000755	16	14	17	16	15	14
ENSG00000000756	16	16	17	14	16	15
ENSG00000000757	21	21	21	20	20	23
ENSG00000000758	6	6	5	6	5	7
ENSG00000000759	8	7	9	11	8	10
ENSG00000000760	11	11	14	12	14	11
ENSG00000000761	9	7	9	9	9	10
ENSG00000000762	14	14	12	17	13	13
ENSG00000000763	3	5	2	6	2	4
ENSG00000000764	9	9	8	8	10	7
ENSG00000000765	9	10	11	10	12	8
ENSG00000000766	11	8	11	11	11	9
ENSG00000000767	16	15	18	16	17	17
ENSG00000000768	4	8	3	7	4	4
ENSG00000000769	18	15	17	17	21	16
ENSG00000000770	13	13	13	17	13	13
ENSG00000000771	14	16	14	39	43	39
ENSG00000000772	7	7	6	9	7	8
ENSG00000000773	12	13	13	14	19	13
ENSG00000000774	11	10	9	4	5	5
ENSG00000000775	21	20	20	22	24	24
ENSG00000000776	11	11	9	11	10	10
ENSG00000000777	11	10	12	11	9	12
ENSG00000000778	9	8	9	11	10	11
ENSG00000000779	8	8	6	8	8	8
ENSG00000000780	15	17	16	16	20	17
ENSG00000000781	9	7	8	8	9	8
ENSG00000000782	7	9	9	25	21	23
ENSG00000000783	13	15	12	18	12	13
ENSG00000000784	12	10	11	12	15	13
ENSG00000000785	7	9	8	14	14	13
ENSG00000000786	14	14	14	15	15	18
ENSG00000000787	12	13	12	11	11	13
ENSG00000000788	20	16	19	16	16	16
ENSG00000000789	12	14	13	13	15	13
ENSG00000000790	13	12	12	13	13	14
ENSG00000000791	6	5	7	6	5	7
ENSG00000000792	22	23	24	21	24	19
ENSG00000000793	15	12	14	13	15	16
ENSG00000000794	14	13	14	12	13	11
ENSG00000000795	21	23	22	23	23	21
ENSG00000000796	11	12	13	11	11	13
ENSG00000000797	10	12	12	11	11	11
ENSG00000000798	5	5	7	6	5	7
ENSG00000000799	5	3	5	4	2	5
ENSG00000000800	16	17	18	9	7	4
ENSG00000000801	13	11	9	11	12	10
ENSG00000000802	5	6	5	5	5	4
ENSG00000000803	15	14	17	16	18	16
ENSG00000000804	7	8	8	4	8	4
ENSG00000000805	11	10	14	11	11	11
ENSG00000000806	8	10	12	11	12	12
ENSG00000000807	14	13	10	11	12	10
ENSG00000000808	8	11	5	9	8	6
ENSG00000000809	15	12	12	11	13	13
ENSG00000000810	13	15	14	14	14	14
ENSG00000000811	16	13	13	12	13	14
ENSG00000000812	10	8	7	9	7	8
ENSG00000000813	15	15	14	14	13	16
ENSG00000000814	12	12	13	22	24	25
ENSG00000000815	10	9	10	9	10	10
ENSG00000000816	22	23	25	25	22	23
ENSG00000000817	7	5	7	6	4	7
ENSG00000000818	12	13	13	11	11	12
ENSG00000000819	16	13	16	13	15	13
ENSG00000000820	9	9	10	8	9	10
ENSG00000000821	10	10	9	11	8	9
ENSG00000000822	10	10	12	12	13	12
ENSG00000000823	16	10	10	10	13	11
ENSG00000000824	7	6	7	8	8	7
ENSG00000000825	18	16	20	18	18	16
ENSG00000000826	10	10	11	12	10	10
ENSG00000000827	15	17	16	14	18	14
ENSG00000000828	25	28	25	24	24	23
ENSG00000000829	12	10	10	21	19	19
ENSG00000000830	5	4	8	3	4	5
ENSG00000000831	18	15	19	16	19	18
ENSG00000000832	12	12	11	15	13	15
ENSG00000000833	6	7	6	9	9	7
ENSG00000000834	4	6	7	5	10	6
ENSG00000000835	9	9	11	8	8	8
ENSG00000000836	16	13	15	17	14	15
ENSG00000000837	12	12	13	12	13	11
ENSG00000000838	16	16	15	15	15	14
ENSG00000000839	16	15	14	13	13	12
ENSG00000000840	12	11	14	11	10	10
ENSG00000000841	13	16	13	14	15	13
ENSG00000000842	7	9	6	7	9	10
ENSG00000000843	18	16	18	17	17	16
ENSG00000000844	10	12	9	9	10	9
ENSG00000000845	6	6	8	8	7	9
ENSG00000000846	15	14	16	14	15	14
ENSG00000000847	10	11	13	8	10	10
ENSG00000000848	17	16	19	15	19	19
ENSG00000000849	8	4	6	7	8	5
ENSG00000000850	19	21	19	18	18	19
ENSG00000000851	11	11	11	11	13	12
ENSG00000000852	10	8	9	9	9	9
ENSG00000000853	13	14	15	14	13	13
ENSG00000000854	7	6	7	8	8	6
ENSG00000000855	13	14	10	6	9	6
ENSG00000000856	11	14	12	13	13	11
ENSG00000000857	20	22	24	21	23	21
ENSG00000000858	11	10	11	10	11	12
ENSG00000000859	17	18	16	18	16	15
ENSG00000000860	14	13	12	12	10	10
ENSG00000000861	12	11	10	10	9	13
ENSG00000000862	17	15	18	17	19	17
ENSG00000000863	14	14	16	13	13	14
ENSG00000000864	12	13	14	14	14	13
ENSG00000000865	13	10	11	10	12	11
ENSG00000000866	5	4	6	4	6	3
ENSG00000000867	20	19	26	21	23	21
ENSG00000000868	13	14	15	14	14	13
ENSG00000000869	9	10	12	19	19	17
ENSG00000000870	8	12	8	7	6	10
ENSG00000000871	12	11	12	13	14	13
ENSG00000000872	17	17	19	16	16	17
ENSG00000000873	9	7	7	8	8	11
ENSG00000000874	5	7	9	7	8	6
ENSG00000000875	23	21	23	22	22	22
ENSG00000000876	16	17	15	15	15	16
ENSG00000000877	7	9	8	7	8	8
ENSG00000000878	12	12	12	11	13	12
ENSG00000000879	11	10	10	9	8	10
ENSG00000000880	20	20	18	18	18	19
ENSG00000000881	10	7	8	8	8	8
ENSG00000000882	7	7	6	10	8	8
ENSG00000000883	14	16	14	14	18	15
ENSG00000000884	21	21	21	22	20	22
ENSG00000000885	14	16	12	14	14	13
ENSG00000000886	12	13	15	11	13	15
ENSG00000000887	8	7	7	8	10	7
ENSG00000000888	12	15	12	11	15	10
ENSG00000000889	12	13	15	11	15	14
ENSG00000000890	10	9	9	13	10	10
ENSG00000000891	13	16	13	12	13	12
ENSG00000000892	6	6	5	6	10	5
ENSG00000000893	10	13	14	11	12	12
ENSG00000000894	25	24	23	12	12	15
ENSG00000000895	8	9	7	7	5	7
ENSG00000000896	14	12	14	15	12	12
ENSG00000000897	8	7	7	6	7	12
ENSG00000000898	10	11	8	10	9	9
ENSG00000000899	12	11	15	12	17	12
ENSG00000000900	11	14	16	11	9	12
ENSG00000000901	12	15	16	13	16	15
ENSG00000000902	7	5	3	5	5	7
ENSG00000000903	4	5	6	4	5	6
ENSG00000000904	19	20	20	16	16	18
ENSG00000000905	14	14	14	12	16	11
ENSG00000000906	11	10	12	11	11	11
ENSG00000000907	11	11	12	10	10	11
ENSG00000000908	8	8	10	9	10	8
ENSG00000000909	10	8	8	9	11	9
ENSG00000000910	9	5	6	7	7	7
ENSG00000000911	9	10	11	13	13	9
ENSG00000000912	4	4	7	11	10	11
ENSG00000000913	20	23	20	21	19	21
ENSG00000000914	11	10	11	10	11	13
ENSG00000000915	5	7	6	8	4	7
ENSG00000000916	4	5	4	7	6	9
ENSG00000000917	18	22	18	14	10	10
ENSG00000000918	19	21	17	5	7	9
ENSG00000000919	22	19	20	21	21	20
ENSG00000000920	10	8	9	13	9	8
ENSG00000000921	11	10	10	9	10	9
ENSG00000000922	15	17	17	16	14	18
ENSG00000000923	10	8	8	22	22	22
ENSG00000000924	11	11	13	18	20	20
ENSG00000000925	13	16	17	17	14	16
ENSG00000000926	7	9	9	6	8	8
ENSG00000000927	12	13	14	12	13	12
ENSG00000000928	10	12	11	11	14	11
ENSG00000000929	10	10	10	11	9	9
ENSG00000000930	15	16	15	15	15	17
ENSG00000000931	13	14	13	14	15	12
ENSG00000000932	13	15	14	19	14	13
ENSG00000000933	12	14	12	13	13	13
ENSG00000000934	13	15	15	16	16	16
ENSG00000000935	12	11	14	14	13	13
ENSG00000000936	11	9	11	11	13	10
ENSG00000000937	20	19	20	22	22	19
ENSG00000000938	9	9	10	8	9	10
ENSG00000000939	8	9	10	8	11	9
ENSG00000000940	17	17	15	17	20	17
ENSG00000000941	10	12	11	12	10	10
ENSG00000000942	13	12	16	14	12	16
ENSG00000000943	19	20	19	22	19	22
ENSG00000000944	11	11	10	11	12	12
ENSG00000000945	16	15	18	16	16	17
ENSG00000000946	11	10	8	10	11	10
ENSG00000000947	6	8	7	5	7	8
ENSG00000000948	14	17	16	17	16	15
ENSG00000000949	6	7	5	6	7	7
ENSG00000000950	9	9	10	9	11	11
ENSG00000000951	6	7	7	7	6	7
ENSG00000000952	12	11	10	12	10	12
ENSG00000000953	15	14	14	12	14	14
ENSG00000000954	19	19	18	21	18	19
ENSG00000000955	1	3	3	3	3	1
ENSG00000000956	9	9	10	10	9	10
ENSG00000000957	9	7	6	7	7	4
ENSG00000000958	16	19	15	16	14	14
ENSG00000000959	17	13	13	14	15	14
ENSG00000000960	10	12	9	10	9	11
ENSG00000000961	7	6	6	5	5	8
ENSG00000000962	17	19	19	20	21	18
ENSG00000000963	13	13	10	11	12	14
ENSG00000000964	21	18	20	17	20	18
ENSG00000000965	13	14	13	12	12	11
ENSG00000000966	13	14	14	14	12	11
ENSG00000000967	15	15	14	15	13	16
ENSG00000000968	11	12	12	12	10	11
ENSG00000000969	12	14	12	12	12	14
ENSG00000000970	11	12	15	13	12	14
ENSG00000000971	4	3	6	5	6	5
ENSG00000000972	13	16	11	12	12	13
ENSG00000000973	9	10	9	9	13	14
ENSG00000000974	23	20	24	23	22	21
ENSG00000000975	4	7	3	4	3	6
ENSG00000000976	16	13	11	14	12	14
ENSG00000000977	14	12	15	13	12	12
ENSG00000000978	22	20	21	41	41	39
ENSG00000000979	7	8	10	11	9	7
ENSG00000000980	14	13	10	13	10	12
ENSG00000000981	10	14	11	12	11	12
ENSG00000000982	15	16	14	12	14	12
ENSG00000000983	15	15	15	16	16	17
ENSG00000000984	16	18	16	16	17	14
ENSG00000000985	10	8	10	9	8	10
ENSG00000000986	14	14	14	13	14	13
ENSG00000000987	18	14	13	17	15	17
ENSG00000000988	9	8	9	8	7	9
ENSG00000000989	13	12	13	14	13	11
ENSG00000000990	10	8	10	9	10	11
ENSG00000000991	14	11	12	13	13	14
ENSG00000000992	16	18	13	15	15	16
ENSG00000000993	15	14	14	16	14	20
ENSG00000000994	17	18	17	19	19	17
ENSG00000000995	12	16	13	10	11	11
ENSG00000000996	14	9	13	13	11	14
ENSG00000000997	10	11	12	14	11	11
ENSG00000000998	10	9	8	8	8	9
ENSG00000000999	7	6	8	6	6	7
